상병코드,상병명,상병명(영문)
A1540     ,세균학적 및 조직학적으로 확인된 공동이 있는 흉곽내림프절의 결핵,Tuberculosis of intrathoracic lymph nodes with cavitation/ confirmed bacteriologically and histologically
A1541     ,세균학적 및 조직학적으로 확인된  공동이 없거나 상세불명의 폐문림프절의 결핵,Tuberculosis of hilar lymph nodes  without cavitation or unspecified/ confirmed bacteriologically and histologically
A1541     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 기관기관지림프절의 결핵,Tuberculosis of tracheobronchial lymph nodes  without cavitation or unspecified
A1541     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 종격림프절의 결핵,Confirmed bacteriologically and histologically Tuberculosis of mediastinal lymph nodes without cavitation or unspecified
A1541     ,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 흉곽내림프절의 결핵,Tuberculosis of intrathoracic lymph nodes without cavitation or unspecified/ confirmed bacteriologically and histologically
A155      ,세균학적 및 조직학적으로 확인된 기관의 결핵,Tuberculosis of trachea/ confirmed bacteriologically and histologically
A155      ,세균학적 및 조직학적으로 확인된 기관지의 결핵,Tuberculosis of bronchus/ confirmed bacteriologically and histologically
A155      ,세균학적 및 조직학적으로 확인된 성문의 결핵,Tuberculosis of glottis/ confirmed bacteriologically and histologically
A155      ,세균학적 및 조직학적으로 확인된 후두/ 기관 및 기관지의 결핵,Tuberculosis of larynx/ trachea and bronchus/ confirmed bacteriologically and histologically
A155      ,세균학적 및 조직학적으로 확인된 후두의 결핵,Tuberculosis of larynx/ confirmed bacteriologically and histologically
A1550     ,세균학적 및 조직학적으로 확인된 공동이 있는 기관의 결핵,Tuberculosis of trachea with cavitation/ confirmed bacteriologically and histologically
A1550     ,세균학적 및 조직학적으로 확인된 공동이 있는 기관지의 결핵,Tuberculosis of bronchus with cavitation/ confirmed bacteriologically and histologically
A1550     ,세균학적 및 조직학적으로 확인된 공동이 있는 성문의 결핵,Tuberculosis of glottis with cavitation/ confirmed bacteriologically and histologically
